[frame 00059] webcam=95.8ms  encode=72.7ms  decode=11.3ms  reproject=0.0ms  render=23.4ms  grid=5.9ms  imwrite=0.0ms  stream=1.5ms  TOTAL=210.6ms  (4.7 fps)
[frame 00060] webcam=102.2ms  encode=62.3ms  decode=10.9ms  reproject=0.0ms  render=26.7ms  grid=4.7ms  imwrite=0.0ms  stream=1.4ms  TOTAL=208.3ms  (4.8 fps)
[frame 00061] webcam=106.6ms  encode=64.3ms  decode=13.0ms  reproject=0.0ms  render=23.8ms  grid=5.6ms  imwrite=0.0ms  stream=1.5ms  TOTAL=214.9ms  (4.7 fps)
[frame 00062] webcam=99.1ms  encode=63.2ms  decode=11.1ms  reproject=0.0ms  render=27.8ms  grid=5.3ms  imwrite=0.0ms  stream=1.5ms  TOTAL=208.0ms  (4.8 fps)
[frame 00063] webcam=97.4ms  encode=59.8ms  decode=11.1ms  reproject=0.0ms  render=24.2ms  grid=6.0ms  imwrite=0.0ms  stream=1.5ms  TOTAL=200.0ms  (5.0 fps)
[frame 00064] webcam=95.2ms  encode=75.1ms  decode=9.7ms  reproject=0.0ms  render=41.1ms  grid=6.2ms  imwrite=0.0ms  stream=1.5ms  TOTAL=228.8ms  (4.4 fps)
[frame 00065] webcam=100.4ms  encode=54.9ms  decode=10.5ms  reproject=0.0ms  render=31.3ms  grid=5.3ms  imwrite=0.0ms  stream=1.4ms  TOTAL=203.8ms  (4.9 fps)
[frame 00066] webcam=94.9ms  encode=65.3ms  decode=11.5ms  reproject=0.0ms  render=36.6ms  grid=6.0ms  imwrite=0.0ms  stream=1.5ms  TOTAL=215.7ms  (4.6 fps)
[frame 00067] webcam=100.3ms  encode=66.2ms  decode=11.2ms  reproject=0.0ms  render=33.8ms  grid=5.6ms  imwrite=0.0ms  stream=1.6ms  TOTAL=218.6ms  (4.6 fps)
[frame 00068] webcam=100.2ms  encode=66.2ms  decode=11.4ms  reproject=0.0ms  render=26.5ms  grid=5.7ms  imwrite=0.0ms  stream=1.5ms  TOTAL=211.5ms  (4.7 fps)
[frame 00069] webcam=98.9ms  encode=57.4ms  decode=10.3ms  reproject=0.0ms  render=26.9ms  grid=5.0ms  imwrite=0.0ms  stream=1.5ms  TOTAL=200.0ms  (5.0 fps)
[frame 00070] webcam=108.5ms  encode=62.9ms  decode=11.2ms  reproject=0.0ms  render=27.2ms  grid=5.0ms  imwrite=0.0ms  stream=1.5ms  TOTAL=216.3ms  (4.6 fps)
[frame 00071] webcam=105.4ms  encode=60.0ms  decode=11.2ms  reproject=0.0ms  render=25.4ms  grid=5.4ms  imwrite=0.0ms  stream=1.5ms  TOTAL=208.8ms  (4.8 fps)
[frame 00072] webcam=98.2ms  encode=55.0ms  decode=11.3ms  reproject=0.0ms  render=25.0ms  grid=4.6ms  imwrite=0.0ms  stream=1.4ms  TOTAL=195.5ms  (5.1 fps)
[frame 00073] webcam=94.3ms  encode=59.7ms  decode=11.0ms  reproject=0.0ms  render=24.9ms  grid=5.4ms  imwrite=0.0ms  stream=1.4ms  TOTAL=196.8ms  (5.1 fps)
[frame 00074] webcam=98.5ms  encode=57.1ms  decode=11.0ms  reproject=0.0ms  render=27.7ms  grid=5.4ms  imwrite=0.0ms  stream=1.5ms  TOTAL=201.1ms  (5.0 fps)
[frame 00075] webcam=99.4ms  encode=52.0ms  decode=10.1ms  reproject=0.0ms  render=23.8ms  grid=6.2ms  imwrite=0.0ms  stream=1.9ms  TOTAL=193.5ms  (5.2 fps)
[frame 00076] webcam=94.3ms  encode=55.5ms  decode=10.3ms  reproject=0.0ms  render=25.0ms  grid=5.5ms  imwrite=0.0ms  stream=1.6ms  TOTAL=192.1ms  (5.2 fps)
[frame 00077] webcam=100.1ms  encode=62.5ms  decode=11.0ms  reproject=0.0ms  render=25.2ms  grid=5.4ms  imwrite=0.0ms  stream=1.5ms  TOTAL=205.6ms  (4.9 fps)
[frame 00078] webcam=100.1ms  encode=59.7ms  decode=10.9ms  reproject=0.0ms  render=28.1ms  grid=5.0ms  imwrite=0.0ms  stream=1.5ms  TOTAL=205.4ms  (4.9 fps)
[frame 00079] webcam=109.4ms  encode=68.1ms  decode=11.2ms  reproject=0.0ms  render=25.6ms  grid=5.6ms  imwrite=0.0ms  stream=1.6ms  TOTAL=221.5ms  (4.5 fps)
[frame 00080] webcam=100.8ms  encode=59.8ms  decode=10.9ms  reproject=0.0ms  render=24.7ms  grid=5.1ms  imwrite=0.0ms  stream=1.5ms  TOTAL=202.9ms  (4.9 fps)
[frame 00081] webcam=98.8ms  encode=58.5ms  decode=11.3ms  reproject=0.0ms  render=24.4ms  grid=6.2ms  imwrite=0.0ms  stream=1.5ms  TOTAL=200.7ms  (5.0 fps)
[frame 00082] webcam=93.7ms  encode=55.7ms  decode=13.3ms  reproject=0.0ms  render=24.0ms  grid=5.4ms  imwrite=0.0ms  stream=2.1ms  TOTAL=194.2ms  (5.1 fps)
